key,value
start_offsets,"[467, 867, 1867, 2733, 5267, 9000, 10600, 12933, 16133, 19867, 23667, 27733, 31800, 36000, 39800, 43533, 46467, 47733, 51800, 55467, 57000, 58200, 59733, 63533, 66867, 70667, 71667, 74933, 79000, 82933, 83533, 87667, 91800, 96133, 96600, 100600, 104800, 107200, 107600, 109533, 114067, 117600]"
end_offsets,"[600, 1333, 2400, 2933, 5667, 9267, 10667, 13133, 16333, 20200, 24000, 28067, 32133, 36400, 40133, 43933, 46600, 48067, 52200, 56000, 57267, 58400, 59933, 63867, 67333, 71133, 72133, 75333, 79400, 83200, 83933, 87933, 92133, 96400, 96667, 100933, 105133, 107467, 108733, 109933, 114400, 117933]"
