key,value
start_offsets,"[1733, 5867, 10467, 15000, 19467, 24067, 28533, 33000, 37667, 42200, 46867, 51867, 56600, 62200, 67733, 73133, 78200, 83267, 88800, 93667, 98667, 104000, 109400, 114400, 119867]"
end_offsets,"[3867, 8200, 12667, 17133, 21667, 26200, 30667, 35133, 40067, 44667, 49267, 54467, 59867, 64800, 70333, 75667, 81000, 85933, 91267, 96333, 101400, 106867, 111800, 117467]"
