key,value
start_offsets,"[1800, 5800, 9867, 13467, 17667, 21933, 26267, 30667, 35067, 39467, 43933, 48400, 53000, 57600, 61867, 66667, 71333, 75800, 80467, 84933, 89400, 93933, 98600, 102933, 107600, 112333, 117000]"
end_offsets,"[3667, 7867, 11733, 15333, 19667, 24067, 28400, 32933, 37400, 41667, 46133, 50467, 55267, 59600, 64600, 69067, 73733, 78267, 82733, 87400, 91933, 96733, 100867, 105533, 110067, 115067, 119667]"
