key,value
start_offsets,"[2867, 5667, 9000, 11800, 15400, 18667, 21800, 24733, 28000, 31133, 34733, 37733, 40600, 43733, 47067, 50867, 54400, 57733, 60667, 63600, 67067, 71067, 74200, 77200, 80133, 83467, 87000, 90267, 93533, 96533, 99800, 102800, 105933, 108533, 111667, 114733, 117733, 120733]"
end_offsets,"[3067, 6133, 9400, 12200, 15667, 19000, 22267, 25400, 28533, 31533, 35067, 38000, 40933, 44000, 47333, 51333, 54800, 58000, 61133, 64133, 67533, 71400, 74667, 77400, 80467, 83933, 87267, 90733, 94000, 97000, 100200, 103200, 106400, 108933, 112267, 115133, 118000, 121067]"
